"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","Frontend Unit Tests App Component handleColorClick does nothing if data is null","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handleColorClick does nothing if data is null",""
"","71","Frontend Unit Tests App Component handleColorClick does nothing if hex is missing (kills Line 34 mutants)","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handleColorClick does nothing if hex is missing (kills Line 34 mutants)",""
"","50","Frontend Unit Tests App Component renders title and logo with exact strings","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component renders title and logo with exact strings",""
"","","[HIGH] CVE-2026-27903","","","failed","","","Node.js","minimatch-10.2.2",""
"","","[HIGH] CVE-2026-32280","","","failed","","","app/node_modules/snyk/wrapper_dist/snyk-linux","stdlib-v1.25.7",""
"","9","Frontend Unit Tests App Component handles fetch reject with exact error message","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handles fetch reject with exact error message",""
"","","[HIGH] CVE-2026-31802","","","failed","","","Node.js","tar-7.5.9",""
"","2","Frontend Unit Tests i18n Configuration should handle language change correctly","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests i18n Configuration should handle language change correctly",""
"","30","Frontend Unit Tests App Component changes background color and checks exact fetch URL","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component changes background color and checks exact fetch URL",""
"","0","Frontend Unit Tests i18n Configuration should have translation keys in resources","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests i18n Configuration should have translation keys in resources",""
"","40","Frontend Unit Tests App Component learn react link has exact text","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component learn react link has exact text",""
"","8","Frontend Unit Tests App Component useEffect only runs once on initial render and not on re-render","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component useEffect only runs once on initial render and not on re-render",""
"","19","Frontend Unit Tests App Component handleColorClick handles fetch rejection and logs exact message","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handleColorClick handles fetch rejection and logs exact message",""
"","","[HIGH] CVE-2026-34986","","","failed","","","app/node_modules/snyk/wrapper_dist/snyk-linux","github.com/go-jose/go-jose/v4-v4.1.3",""
"","25","Frontend Unit Tests App Component clears previous error on new successful handleColorClick","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component clears previous error on new successful handleColorClick",""
"","","[CRITICAL] CVE-2026-40175","","","failed","","","Node.js","axios-1.13.6",""
"","","[HIGH] CVE-2026-39883","","","failed","","","app/node_modules/snyk/wrapper_dist/snyk-linux","go.opentelemetry.io/otel/sdk-v1.40.0",""
"","5","Frontend Unit Tests App Component initial state and currentColor precise check","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component initial state and currentColor precise check",""
"","54","Frontend Unit Tests App Component handles non-array with length property from initial fetch","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handles non-array with length property from initial fetch",""
"","54","Frontend Unit Tests App Component handles empty array data and ensures no errors are logged","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handles empty array data and ensures no errors are logged",""
"","","[HIGH] CVE-2026-29786","","","failed","","","Node.js","tar-7.5.9",""
"","","[HIGH] CVE-2026-25679","","","failed","","","app/node_modules/snyk/wrapper_dist/snyk-linux","stdlib-v1.25.7",""
"","22","Frontend Unit Tests App Component handleColorClick handles ok: false (non-200 status) and shows specific error","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handleColorClick handles ok: false (non-200 status) and shows specific error",""
"","","[HIGH] CVE-2026-27904","","","failed","","","Node.js","minimatch-10.2.2",""
"","","[HIGH] CVE-2026-32282","","","failed","","","app/node_modules/snyk/wrapper_dist/snyk-linux","stdlib-v1.25.7",""
"","57","Frontend Unit Tests App Component useEffect does not re-run when unrelated props change","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component useEffect does not re-run when unrelated props change",""
"","6","Frontend Unit Tests App Component changes language and updates document","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component changes language and updates document",""
"","1","Frontend Unit Tests i18n Configuration should have defined resources for en, es, el","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests i18n Configuration should have defined resources for en, es, el",""
"","55","Frontend Unit Tests App Component handles empty array data from initial fetch and stays default","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handles empty array data from initial fetch and stays default",""
"","12","Frontend Unit Tests App Component handles initial fetch with ok: false (non-200 status)","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handles initial fetch with ok: false (non-200 status)",""
"","44","Frontend Unit Tests App Component fetches and displays colors with exact aria-labels","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component fetches and displays colors with exact aria-labels",""
"","56","Frontend Unit Tests App Component handles null data or non-array from initial fetch and stays default","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handles null data or non-array from initial fetch and stays default",""
"","2","Frontend Unit Tests i18n Configuration should be initialized with correct settings","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests i18n Configuration should be initialized with correct settings",""
"","","[HIGH] CVE-2026-4660","","","failed","","","app/node_modules/snyk/wrapper_dist/snyk-linux","github.com/hashicorp/go-getter-v1.8.3",""
"","","[CRITICAL] CVE-2025-62718","","","failed","","","Node.js","axios-1.13.6",""
"","3","Frontend Unit Tests i18n Configuration should translate keys correctly","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests i18n Configuration should translate keys correctly",""
"","1","Frontend Unit Tests i18n Configuration interpolation should not escape value","","Tue Apr 14 21:27:25 UTC 2026","passed","Tue Apr 14 21:27:25 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests i18n Configuration interpolation should not escape value",""
"","","[HIGH] CVE-2025-46569","","","failed","","","app/node_modules/snyk/wrapper_dist/snyk-linux","github.com/open-policy-agent/opa-v0.69.0",""
