"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1091","Frontend package.json should not have HIGH/CRITICAL vulnerabilities","Chrome","Wed Apr 01 05:52:26 UTC 2026","passed","Wed Apr 01 05:52:27 UTC 2026","Security Audit Scanning","","",""
"","498","should create a new color with valid schema","Chrome","Wed Apr 01 05:52:16 UTC 2026","passed","Wed Apr 01 05:52:17 UTC 2026","Backend API Integration > POST /api/colors Schema Validation","","",""
"","6","Frontend Unit Tests App Component initial state and currentColor precise check","","Wed Apr 01 05:33:59 UTC 2026","passed","Wed Apr 01 05:33:59 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component initial state and currentColor precise check",""
"","10","Server Unit Tests PUT /api/colors/:name updates the name of an existing color","","Wed Apr 01 05:34:11 UTC 2026","passed","Wed Apr 01 05:34:11 UTC 2026","","Server Unit Tests","Server Unit Tests PUT /api/colors/:name updates the name of an existing color",""
"","4","Server Unit Tests POST /api/colors returns 400 for name with special characters","","Wed Apr 01 05:34:11 UTC 2026","passed","Wed Apr 01 05:34:11 UTC 2026","","Server Unit Tests","Server Unit Tests POST /api/colors returns 400 for name with special characters",""
"","56","Frontend Unit Tests App Component handles fetch reject with exact error message","","Wed Apr 01 05:33:59 UTC 2026","passed","Wed Apr 01 05:33:59 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handles fetch reject with exact error message",""
"","4","Server Unit Tests Error Handling seedDatabase logs error when database fails","","Wed Apr 01 05:34:11 UTC 2026","passed","Wed Apr 01 05:34:11 UTC 2026","","Server Unit Tests","Server Unit Tests Error Handling seedDatabase logs error when database fails",""
"","27","Server Integration Tests (Testcontainers) CRUD Operations with Real MongoDB should create a new color in the real database","","Wed Apr 01 05:34:03 UTC 2026","passed","Wed Apr 01 05:34:03 UTC 2026","","Server Integration Tests (Testcontainers)","Server Integration Tests (Testcontainers) CRUD Operations with Real MongoDB should create a new color in the real database",""
"","2","Server Unit Tests Surviving Mutants & Edge Cases Infrastructure uses MONGO_URI from environment if available","","Wed Apr 01 05:34:11 UTC 2026","passed","Wed Apr 01 05:34:11 UTC 2026","","Server Unit Tests","Server Unit Tests Surviving Mutants & Edge Cases Infrastructure uses MONGO_URI from environment if available",""
"","1303","should create color via API and verify through UI","Chrome","Wed Apr 01 05:52:23 UTC 2026","passed","Wed Apr 01 05:52:24 UTC 2026","Hybrid E2E Testing","","",""
"","6","Server Unit Tests GET /api/colors/:name returns 404 for a non-existent color","","Wed Apr 01 05:34:11 UTC 2026","passed","Wed Apr 01 05:34:11 UTC 2026","","Server Unit Tests","Server Unit Tests GET /api/colors/:name returns 404 for a non-existent color",""
"","21","Server Unit Tests POST /api/colors creates a new color and returns 201 with correct body","","Wed Apr 01 05:34:11 UTC 2026","passed","Wed Apr 01 05:34:11 UTC 2026","","Server Unit Tests","Server Unit Tests POST /api/colors creates a new color and returns 201 with correct body",""
"","10","Server Unit Tests GET /api/colors returns an empty array when no colors exist","","Wed Apr 01 05:34:11 UTC 2026","passed","Wed Apr 01 05:34:11 UTC 2026","","Server Unit Tests","Server Unit Tests GET /api/colors returns an empty array when no colors exist",""
"","797","verify Turquoise ( #1abc9c ) is applied as the background color","Chrome","Wed Apr 01 05:52:24 UTC 2026","passed","Wed Apr 01 05:52:25 UTC 2026","POM Refactored: Background color tests","","",""
"","62","Frontend Unit Tests App Component handleColorClick does nothing if data is null","","Wed Apr 01 05:33:59 UTC 2026","passed","Wed Apr 01 05:33:59 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handleColorClick does nothing if data is null",""
"","84","should reject missing hex","Chrome","Wed Apr 01 05:52:17 UTC 2026","passed","Wed Apr 01 05:52:17 UTC 2026","Backend API Integration > POST /api/colors Schema Validation","","",""
"","5","Server Unit Tests PUT /api/colors/:name returns 404 for a non-existent color","","Wed Apr 01 05:34:11 UTC 2026","passed","Wed Apr 01 05:34:11 UTC 2026","","Server Unit Tests","Server Unit Tests PUT /api/colors/:name returns 404 for a non-existent color",""
"","56","should reject updating with empty name","Chrome","Wed Apr 01 05:52:17 UTC 2026","passed","Wed Apr 01 05:52:17 UTC 2026","Backend API Integration > PUT /api/colors/:name Schema Validation","","",""
"","45","Server Integration Tests (Testcontainers) CRUD Operations with Real MongoDB should retrieve all seeded colors","","Wed Apr 01 05:34:03 UTC 2026","passed","Wed Apr 01 05:34:03 UTC 2026","","Server Integration Tests (Testcontainers)","Server Integration Tests (Testcontainers) CRUD Operations with Real MongoDB should retrieve all seeded colors",""
"","593","should update a color with valid schema","Chrome","Wed Apr 01 05:52:17 UTC 2026","passed","Wed Apr 01 05:52:18 UTC 2026","Backend API Integration > PUT /api/colors/:name Schema Validation","","",""
"","60","should reject missing name","Chrome","Wed Apr 01 05:52:17 UTC 2026","passed","Wed Apr 01 05:52:17 UTC 2026","Backend API Integration > POST /api/colors Schema Validation","","",""
"","1048","verify Yellow ( #f1c40f ) is applied as the background color","Chrome","Wed Apr 01 05:52:19 UTC 2026","passed","Wed Apr 01 05:52:20 UTC 2026","Background color tests","","",""
"","54","Frontend Unit Tests App Component handles non-array with length property from initial fetch","","Wed Apr 01 05:33:59 UTC 2026","passed","Wed Apr 01 05:33:59 UTC 2026","","Frontend Unit Tests","Frontend Unit Tests App Component handles non-array with length property from initial fetch",""
"","971","Example #1","BDD","Wed Apr 01 05:37:42 UTC 2026","passed","Wed Apr 01 05:37:43 UTC 2026","Home Page Background Color > Change background color","","",""
"","928","Example #2","BDD","Wed Apr 01 05:37:42 UTC 2026","passed","Wed Apr 01 05:37:43 UTC 2026","Home Page Background Color > Change background color","","",""
